City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Albany,US,2022-12-15 21:49:22,42.6001,-73.9662,36.59,79,100,1.99
68,Lanzhou,CN,2022-12-15 21:52:50,36.0564,103.7922,19.92,73,100,7.09
69,Honiara,SB,2022-12-15 21:50:37,-9.4333,159.95,83.95,72,29,2.73
70,Tombouctou,ML,2022-12-15 21:53:54,20.0,-3.0,73.81,15,0,6.08
71,East London,ZA,2022-12-15 21:53:54,-33.0153,27.9116,68.67,85,29,2.46
72,Port Lincoln,AU,2022-12-15 21:53:55,-34.7333,135.8667,58.75,67,100,15.12
73,Zhezkazgan,KZ,2022-12-15 21:53:55,47.8043,67.7144,13.1,79,92,8.75
74,Hermanus,ZA,2022-12-15 21:53:56,-34.4187,19.2345,71.8,87,93,9.28
75,Hobart,AU,2022-12-15 21:50:14,-42.8794,147.3294,53.28,90,75,10.36
76,Cap Malheureux,MU,2022-12-15 21:53:57,-19.9842,57.6142,76.46,74,81,8.01
77,Honningsvag,NO,2022-12-15 21:51:34,70.9821,25.9704,35.35,69,75,27.63
78,Airai,TL,2022-12-15 21:53:57,-8.9266,125.4092,62.15,87,100,1.57
79,Igaci,BR,2022-12-15 21:53:58,-9.5369,-36.6336,80.49,56,100,13.4
80,Ilulissat,GL,2022-12-15 21:53:58,69.2167,-51.1,25.23,96,100,11.07
81,Hualmay,PE,2022-12-15 21:53:59,-11.0964,-77.6139,72.68,75,100,8.93
82,Tiksi,RU,2022-12-15 21:53:59,71.6872,128.8694,-27.67,100,98,2.59
83,Naze,JP,2022-12-15 21:54:00,28.3667,129.4833,56.32,80,100,18.23
84,Longyearbyen,SJ,2022-12-15 21:54:00,78.2186,15.6401,3.04,72,40,11.5
85,Poum,NC,2022-12-15 21:54:00,-20.2333,164.0167,79.72,67,0,4.09
86,Hearst,CA,2022-12-15 21:54:01,49.6835,-83.6665,28.65,84,100,13.78
87,Kulhudhuffushi,MV,2022-12-15 21:54:02,6.6221,73.07,81.03,76,15,14.16
88,Vyborg,RU,2022-12-15 21:55:02,60.7076,28.7528,24.13,97,99,4.79
89,Mar Del Plata,AR,2022-12-15 21:54:19,-38.0023,-57.5575,64.42,68,0,18.41
90,Palamos,ES,2022-12-15 21:55:03,41.8484,3.1291,55.29,92,79,3.22
91,Beidao,CN,2022-12-15 21:55:03,34.5686,105.8933,27.25,46,100,6.15
92,Port Augusta,AU,2022-12-15 21:55:04,-32.5,137.7667,64.24,41,0,11.1
93,Virden,US,2022-12-15 21:55:04,39.5009,-89.7679,34.09,77,100,14.99
94,Gaoual,GN,2022-12-15 21:55:05,11.75,-13.2,75.56,22,0,1.25
95,Westport,US,2022-12-15 21:51:40,41.1415,-73.3579,42.89,78,100,14.0
96,Prince Rupert,CA,2022-12-15 21:55:06,54.3161,-130.3201,39.29,93,100,6.91
97,Kapaa,US,2022-12-15 21:55:06,22.0752,-159.319,80.19,67,2,4.0
98,Upernavik,GL,2022-12-15 21:55:07,72.7868,-56.1549,23.76,87,100,29.66
99,Carnarvon,AU,2022-12-15 21:55:07,-24.8667,113.6333,71.71,78,0,17.78
100,Souillac,MU,2022-12-15 21:55:08,-20.5167,57.5167,75.58,83,40,8.05
101,Nanortalik,GL,2022-12-15 21:55:08,60.1432,-45.2371,20.86,80,62,4.0
102,Vrangel,RU,2022-12-15 21:55:09,42.7297,133.0839,7.32,58,1,19.08
103,Ambon,ID,2022-12-15 21:50:36,-3.6954,128.1814,76.23,16,40,4.61
104,Dragor,DK,2022-12-15 21:55:10,55.5946,12.6664,26.58,72,3,11.5
105,Castro,BR,2022-12-15 21:55:10,-24.7911,-50.0119,64.51,72,2,2.73
106,New Norfolk,AU,2022-12-15 21:55:11,-42.7826,147.0587,53.91,67,96,1.99
107,Sobolevo,RU,2022-12-15 21:55:11,54.4299,31.8996,23.04,91,99,12.44
108,Chokurdakh,RU,2022-12-15 21:55:12,70.6333,147.9167,-40.92,100,59,0.27
109,Diu,IN,2022-12-15 21:55:12,20.7141,70.9822,76.28,66,97,7.96
110,Bengkulu,ID,2022-12-15 21:55:13,-3.8004,102.2655,74.88,88,76,6.33
111,Graaff-Reinet,ZA,2022-12-15 21:55:13,-32.2522,24.5308,68.92,67,64,2.46
112,Mecca,SA,2022-12-15 21:52:41,21.4267,39.8261,73.74,53,0,5.39
113,Salalah,OM,2022-12-15 21:55:14,17.0151,54.0924,72.9,53,5,5.35
114,Bay Roberts,CA,2022-12-15 21:55:14,47.5999,-53.2648,40.33,97,100,24.0
115,Sao Filipe,CV,2022-12-15 21:55:15,14.8961,-24.4956,78.69,63,0,9.89
116,Abu Samrah,SY,2022-12-15 21:55:15,35.3029,37.1841,53.47,82,7,4.16
117,Verkhnevilyuysk,RU,2022-12-15 21:55:16,63.4453,120.3167,-33.57,100,40,2.66
118,Grand-Lahou,CI,2022-12-15 21:55:16,5.1367,-5.0242,78.98,84,37,7.61
119,Masty,BY,2022-12-15 21:55:16,53.4122,24.5387,5.92,99,89,4.83
120,Mindelo,CV,2022-12-15 21:55:17,16.8901,-24.9804,74.75,73,20,32.21
121,Zlobin,HR,2022-12-15 21:55:18,45.2924,14.6541,46.8,97,100,4.61
122,Chuy,UY,2022-12-15 21:55:18,-33.6971,-53.4616,63.48,85,97,12.35
123,Harper,LR,2022-12-15 21:55:19,4.375,-7.7169,78.66,82,52,7.31
124,Cidreira,BR,2022-12-15 21:53:57,-30.1811,-50.2056,72.79,81,100,10.71
125,Tilichiki,RU,2022-12-15 21:55:19,60.4667,166.1,28.8,77,100,17.18
126,Bredy,RU,2022-12-15 21:55:20,52.4153,60.3411,1.24,91,68,4.23
127,Bluff,NZ,2022-12-15 21:55:20,-46.6,168.3333,63.81,84,99,3.4
128,Codrington,AU,2022-12-15 21:55:21,-38.2667,141.9667,56.59,72,99,13.94
129,San Fernando,PH,2022-12-15 21:55:21,15.0286,120.6898,78.53,89,33,5.59
130,Jumla,NP,2022-12-15 21:55:22,29.2747,82.1838,38.98,17,0,5.37
131,Vao,NC,2022-12-15 21:55:23,-22.6667,167.4833,76.44,66,18,9.48
132,Vangaindrano,MG,2022-12-15 21:55:23,-23.35,47.6,71.17,94,95,2.08
133,Yumen,CN,2022-12-15 21:56:24,40.2833,97.2,5.47,93,99,3.42
134,Gewane,ET,2022-12-15 21:56:24,10.1664,40.6453,74.41,50,6,3.53
135,Arraial Do Cabo,BR,2022-12-15 21:56:25,-22.9661,-42.0278,76.86,65,20,16.11
136,Asau,RO,2022-12-15 21:55:11,46.4333,26.4,29.32,92,32,2.57
137,Lata,PT,2022-12-15 21:56:26,40.1629,-8.3327,57.81,90,47,7.18
138,Sterling,US,2022-12-15 21:56:01,39.0062,-77.4286,43.59,93,100,11.5
139,Lorengau,PG,2022-12-15 21:56:26,-2.0226,147.2712,78.06,87,100,4.61
140,Wagga Wagga,AU,2022-12-15 21:56:27,-35.1167,147.3667,61.84,48,1,5.17
141,Birin,NP,2022-12-15 21:56:27,26.8865,88.0718,50.86,78,95,1.34
142,Guatire,VE,2022-12-15 21:56:28,10.4762,-66.5427,72.03,94,51,3.18
143,Kashi,CN,2022-12-15 21:56:28,39.4547,75.9797,24.01,50,94,4.47
144,Hilo,US,2022-12-15 21:56:29,19.7297,-155.09,81.28,89,26,8.01
145,Butaritari,KI,2022-12-15 21:56:29,3.0707,172.7902,81.25,75,58,7.54
146,Shimoda,JP,2022-12-15 21:56:30,34.6667,138.95,42.1,70,0,22.66
147,Slave Lake,CA,2022-12-15 21:56:30,55.2834,-114.769,13.98,92,0,4.61
148,Nikolskoye,RU,2022-12-15 21:56:30,59.7035,30.7861,17.49,98,100,2.19
149,Georgetown,MY,2022-12-15 21:56:31,5.4112,100.3354,80.53,88,20,6.91
150,Bereda,ES,2022-12-15 21:56:32,43.2686,-7.5406,48.58,100,100,1.28
151,Lebu,CL,2022-12-15 21:56:32,-37.6167,-73.65,60.6,74,18,24.94
152,Cockburn Town,TC,2022-12-15 21:54:32,21.4612,-71.1419,77.95,67,0,15.05
