City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Buala,SB,-8.145,159.5921,83.71,73,37,3.71,light rain
79,Bluff,NZ,-46.6,168.3333,57.79,77,98,18.21,overcast clouds
80,Klaksvik,FO,62.2266,-6.589,29.32,57,100,17.49,overcast clouds
81,Khatanga,RU,71.9667,102.5,-23.3,100,34,4.74,scattered clouds
82,Marsa Matruh,EG,31.3525,27.2453,65.53,80,41,10.47,scattered clouds
83,Coruripe,BR,-10.1256,-36.1756,76.24,84,72,11.25,broken clouds
84,Phan Thiet,VN,10.9333,108.1,84.4,54,100,22.46,overcast clouds
85,Barrow,US,71.2906,-156.7887,-11.18,77,0,8.05,clear sky
86,Eldoret,KE,0.5204,35.2699,59.76,74,4,12.24,clear sky
87,Faanui,PF,-16.4833,-151.75,80.46,77,99,13.22,light rain
88,Valdivia,CL,-39.8142,-73.2459,55.49,96,99,2.75,overcast clouds
89,Ixtapa,MX,20.7,-105.2,69.03,83,75,3.44,broken clouds
90,Vangaindrano,MG,-23.35,47.6,76.42,85,54,9.62,broken clouds
91,Carnarvon,AU,-24.8667,113.6333,90.23,40,0,11.21,clear sky
92,Geraldton,AU,-28.7667,114.6,95.41,14,0,9.22,clear sky
93,Maragogi,BR,-9.0122,-35.2225,76.35,78,88,6.93,overcast clouds
94,Severo-Kurilsk,RU,50.6789,156.125,25.18,65,37,7.52,scattered clouds
95,Hasaki,JP,35.7333,140.8333,48.22,34,73,15.59,light rain
96,Tasiilaq,GL,65.6145,-37.6368,10.56,48,0,6.22,clear sky
97,Lompoc,US,34.6391,-120.4579,56.79,100,0,5.75,clear sky
98,Filingue,NE,14.3521,3.3168,68.09,23,23,9.4,few clouds
99,Upernavik,GL,72.7868,-56.1549,17.69,49,100,5.28,overcast clouds
100,Pangai,TO,-19.8,-174.35,80.2,75,14,10.13,few clouds
101,Tecoanapa,MX,16.5167,-98.75,71.51,81,51,4.9,broken clouds
102,Abu Kamal,SY,34.4506,40.9171,53.24,61,4,6.15,clear sky
103,New Norfolk,AU,-42.7826,147.0587,67.91,47,1,4.0,clear sky
104,Berlevag,NO,70.8578,29.0864,21.2,67,71,14.97,broken clouds
105,East London,ZA,-33.0153,27.9116,67.75,82,98,8.08,overcast clouds
106,Nemuro,JP,43.3236,145.575,30.97,67,2,28.81,clear sky
107,Bredasdorp,ZA,-34.5322,20.0403,66.81,81,88,9.69,overcast clouds
108,Ketchikan,US,55.3422,-131.6461,26.58,36,0,4.61,clear sky
109,Longyearbyen,SJ,78.2186,15.6401,10.24,79,75,11.5,broken clouds
110,Bulawayo,ZW,-20.15,28.5833,67.15,83,100,5.26,overcast clouds
111,Mitsamiouli,KM,-11.3847,43.2844,81.48,76,83,8.43,broken clouds
112,Bilma,NE,18.6853,12.9164,65.14,27,53,8.28,broken clouds
113,Galveston,US,29.3669,-94.9669,51.98,59,0,9.22,clear sky
114,Takoradi,GH,4.8845,-1.7554,78.33,84,30,4.45,scattered clouds
115,Lahaina,US,20.8783,-156.6825,75.81,90,8,3.36,light rain
116,Butaritari,KI,3.0707,172.7902,82.08,77,86,12.19,light rain
117,Kyaikkami,MM,16.08,97.5675,79.7,60,5,9.51,clear sky
118,Kropotkin,RU,45.4375,40.5756,46.49,60,100,6.33,overcast clouds
119,Moba,CN,33.2288,105.0179,34.23,27,3,5.5,clear sky
120,Copala,MX,16.65,-98.9833,72.72,76,17,3.8,few clouds
121,Jamestown,US,42.097,-79.2353,27.55,63,100,12.66,overcast clouds
122,Svetlaya,RU,46.5389,138.3297,4.55,60,0,11.03,clear sky
123,Isangel,VU,-19.55,169.2667,81.73,73,11,9.08,few clouds
124,Havre-Saint-Pierre,CA,50.2334,-63.5986,29.7,81,100,19.1,overcast clouds
125,Qaanaaq,GL,77.484,-69.3632,10.67,71,100,11.77,overcast clouds
126,Ayan,RU,56.45,138.1667,-7.82,81,100,18.9,overcast clouds
127,Itupiranga,BR,-5.1347,-49.3267,75.52,97,90,1.61,overcast clouds
128,Abu Samrah,SY,35.3029,37.1841,51.64,68,32,3.83,scattered clouds
129,Flinders,AU,-34.5833,150.8552,69.06,58,69,8.99,broken clouds
130,Bairiki,KI,1.3292,172.9752,86.0,70,20,9.22,few clouds
131,Labuhan,ID,-6.8844,112.2051,88.38,57,7,2.1,light rain
132,Havelock,US,34.8791,-76.9013,53.58,63,20,8.05,few clouds
133,Sibolga,ID,1.7427,98.7792,76.14,93,93,3.15,overcast clouds
134,Springbok,ZA,-29.6643,17.8865,57.78,94,75,3.44,broken clouds
135,Broome,US,42.2506,-75.833,29.17,80,100,4.61,overcast clouds
136,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,31,0,21.85,clear sky
137,Praia,CV,14.9215,-23.5087,72.14,83,20,13.8,few clouds
138,Sweetwater,US,25.7634,-80.3731,73.02,97,40,1.01,scattered clouds
139,Calvia,ES,39.5657,2.5062,50.07,91,1,3.6,clear sky
140,Axim,GH,4.8699,-2.2405,77.79,83,48,4.14,scattered clouds
141,Santander,ES,43.4647,-3.8044,56.52,69,0,6.91,clear sky
142,Castro,BR,-24.7911,-50.0119,57.81,94,97,9.64,overcast clouds
143,Trincomalee,LK,8.5711,81.2335,79.92,74,100,16.4,overcast clouds
144,Haapiti,PF,-17.5667,-149.8667,81.72,75,100,9.24,overcast clouds
145,Sitka,US,57.0531,-135.33,22.89,39,0,5.75,clear sky
146,Egvekinot,RU,66.3167,-179.1667,14.54,59,97,11.45,overcast clouds
147,Northam,GB,51.0333,-4.2167,40.6,85,100,15.68,light rain
148,Skjeberg,NO,59.2333,11.2,38.28,93,100,14.23,overcast clouds
149,Ust-Kuyga,RU,70.0167,135.6,-50.28,99,70,1.34,broken clouds
150,Hamilton,US,39.1834,-84.5333,30.09,67,100,12.66,overcast clouds
151,Guerrero Negro,MX,27.9769,-114.0611,59.18,65,4,7.58,clear sky
152,Srednekolymsk,RU,67.45,153.6833,-6.57,98,100,4.92,overcast clouds
153,Hakui,JP,36.8833,136.7833,33.69,73,100,27.22,light snow
154,Half Moon Bay,US,37.4636,-122.4286,51.85,74,0,4.61,clear sky
155,Ponta Do Sol,PT,32.6667,-17.1,67.01,77,96,9.35,overcast clouds
156,Znamenskoye,RU,57.1281,73.8282,2.7,97,52,5.86,broken clouds
157,Kalaleh,IR,37.3807,55.4916,51.4,82,20,0.0,few clouds
158,Karachi,PK,24.9056,67.0822,64.22,59,40,3.44,smoke
159,Sarangani,PH,5.4033,125.4636,83.14,66,98,1.99,moderate rain
160,Caravelas,BR,-17.7125,-39.2481,70.99,99,100,2.86,moderate rain
161,Vyartsilya,RU,62.1764,30.693,19.62,100,100,7.61,light snow
162,Petrozavodsk,RU,61.7849,34.3469,15.26,92,77,0.0,broken clouds
163,Mahebourg,MU,-20.4081,57.7,82.69,65,40,17.27,scattered clouds
164,Arang,IN,21.2,81.9667,73.72,22,91,6.89,overcast clouds
165,Dogondoutchi,NE,13.6393,4.0287,69.17,23,78,11.52,broken clouds
166,Hami,CN,42.8,93.45,23.4,29,0,4.32,clear sky
167,Virginia Beach,US,36.8529,-75.978,39.02,69,0,0.0,clear sky
168,Fortuna,US,40.5982,-124.1573,37.35,100,100,8.05,overcast clouds
169,Moramanga,MG,-18.9333,48.2,72.34,78,87,2.37,overcast clouds
170,Tual,ID,-5.6667,132.75,78.84,84,100,8.48,light rain
171,Ahipara,NZ,-35.1667,173.1667,68.88,75,95,5.28,overcast clouds
172,Marovoay,MG,-16.1,46.6333,82.65,64,19,6.02,few clouds
173,Manzhouli,CN,49.6,117.4333,-9.51,76,66,4.38,broken clouds
174,Kanniyakumari,IN,8.0833,77.5667,83.35,63,9,20.47,clear sky
175,La Ronge,CA,55.1001,-105.2842,-3.21,89,100,7.09,overcast clouds
176,Sisimiut,GL,66.9395,-53.6735,20.05,62,53,15.7,broken clouds
177,Wageningen,NL,51.9667,5.6667,24.12,93,100,5.75,overcast clouds
178,Pinos,MX,22.3,-101.5667,46.74,81,88,6.22,overcast clouds
179,Harrisonburg,US,38.4496,-78.8689,33.01,89,100,3.44,overcast clouds
180,Antsohihy,MG,-14.8796,47.9875,80.67,73,100,2.86,overcast clouds
181,Weatherford,US,32.7593,-97.7972,39.7,52,0,5.5,clear sky
182,Tezu,IN,27.9167,96.1667,77.94,27,3,3.87,clear sky
183,Cayenne,GF,4.9333,-52.3333,73.44,100,75,4.61,broken clouds
184,Kruisfontein,ZA,-34.0033,24.7314,64.89,86,100,6.13,overcast clouds
185,Narsaq,GL,60.9167,-46.05,14.22,81,56,7.16,broken clouds
186,Ilhabela,BR,-23.7781,-45.3581,70.56,86,28,3.58,scattered clouds
187,Beloha,MG,-25.1667,45.05,81.09,59,2,9.24,clear sky
188,Atambua,ID,-9.1061,124.8925,82.42,62,70,3.51,broken clouds
189,Hofn,IS,64.2539,-15.2082,22.73,69,4,17.02,clear sky
190,Hailar,CN,49.2,119.7,-14.75,82,12,3.94,few clouds
191,Tuktoyaktuk,CA,69.4541,-133.0374,-15.29,99,97,12.75,overcast clouds
192,Rio Gallegos,AR,-51.6226,-69.2181,51.51,58,85,4.92,overcast clouds
193,Port-Gentil,GA,-0.7193,8.7815,76.96,100,40,2.3,scattered clouds
194,Lagoa,PT,39.05,-27.9833,60.48,86,49,37.18,light rain
195,Vostok,RU,46.4856,135.8833,-10.53,88,100,9.37,overcast clouds
196,Tiksi,RU,71.6872,128.8694,-32.31,100,66,2.3,broken clouds
197,Port Maria,JM,18.3685,-76.8895,74.05,96,3,4.74,clear sky
198,Fare,PF,-16.7,-151.0167,80.38,76,98,13.71,overcast clouds
199,Kahului,US,20.8947,-156.47,75.85,84,0,6.91,clear sky
200,Leningradskiy,RU,69.3833,178.4167,3.04,82,66,9.66,broken clouds
201,Barcelos,PT,41.5388,-8.6151,57.34,85,100,7.96,overcast clouds
202,Te Anau,NZ,-45.4167,167.7167,55.04,83,100,5.26,overcast clouds
203,Rio Grande,BR,-32.035,-52.0986,67.55,58,82,15.57,broken clouds
204,Inirida,CO,3.8653,-67.9239,73.42,79,92,3.87,overcast clouds
205,Salalah,OM,17.0151,54.0924,80.69,32,0,26.46,clear sky
206,Kaliua,TZ,-5.0606,31.7936,65.55,94,57,2.53,light rain
207,Cabo San Lucas,MX,22.8909,-109.9124,70.52,73,100,1.88,overcast clouds
208,Pati,ID,-6.7559,111.038,89.71,56,6,5.23,clear sky
209,Nanortalik,GL,60.1432,-45.2371,23.23,67,40,10.25,scattered clouds
210,Beringovskiy,RU,63.05,179.3167,29.28,81,100,15.32,overcast clouds
211,Saint George,US,37.1041,-113.5841,31.78,64,0,0.0,clear sky
212,Nabire,ID,-3.3667,135.4833,86.07,67,99,7.23,overcast clouds
213,Lima,PE,-12.0432,-77.0282,69.91,81,46,4.36,scattered clouds
214,Jiayuguan,CN,39.8167,98.3,24.82,38,58,2.1,broken clouds
215,Hithadhoo,MV,-0.6,73.0833,81.64,73,43,15.05,scattered clouds
216,Dudinka,RU,69.4058,86.1778,6.62,96,100,5.5,overcast clouds
217,Benguela,AO,-12.5763,13.4055,73.53,79,96,1.1,overcast clouds
218,Victoria,HK,22.2855,114.1577,57.96,23,38,15.01,scattered clouds
219,Lukovetskiy,RU,64.2956,41.9211,1.96,99,87,4.83,overcast clouds
220,Cermik,TR,38.1361,39.4493,45.34,54,16,3.24,few clouds
221,Pauini,BR,-7.7136,-66.9764,71.28,88,52,1.95,broken clouds
222,Port Elizabeth,ZA,-33.918,25.5701,68.31,84,100,1.01,overcast clouds
223,Talnakh,RU,69.4865,88.3972,6.21,90,100,2.73,overcast clouds
224,Troitsko-Pechorsk,RU,62.7084,56.1964,-15.77,100,98,2.39,overcast clouds
225,Jaciara,BR,-15.9653,-54.9683,72.19,84,22,3.38,few clouds
226,Treinta Y Tres,UY,-33.2333,-54.3833,55.65,85,26,6.51,scattered clouds
227,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,77,100,6.91,overcast clouds
228,Salina Cruz,MX,16.1667,-95.2,76.23,76,10,14.0,clear sky
229,Leiyang,CN,26.4024,112.8591,48.47,18,0,6.2,clear sky
230,Tanga,TZ,-5.0667,39.1,80.38,80,81,11.88,light rain
231,Pevek,RU,69.7008,170.3133,-2.06,88,52,3.18,broken clouds
232,Emerald,AU,-23.5333,148.1667,79.34,53,95,16.82,overcast clouds
233,Road Town,VG,18.4167,-64.6167,77.09,74,0,20.54,clear sky
234,Esperance,AU,-33.8667,121.9,67.91,63,31,18.66,scattered clouds
235,Wufeng,CN,27.45,104.8333,36.48,62,83,2.06,broken clouds
236,Camacha,PT,33.0833,-16.3333,63.82,72,40,18.41,scattered clouds
237,Chuy,UY,-33.6971,-53.4616,63.27,65,85,9.31,overcast clouds
238,Paravola,GR,38.6167,21.5167,61.97,87,88,1.9,overcast clouds
239,Aswan,EG,24.0934,32.907,63.59,56,0,9.08,clear sky
240,Ribeira Grande,PT,38.5167,-28.7,63.77,88,78,25.99,moderate rain
241,Sasina,BA,44.7987,16.739,26.58,95,74,1.81,broken clouds
242,San Cristobal,VE,7.7669,-72.225,68.18,88,93,1.83,overcast clouds
243,Syracuse,IT,37.0881,15.2792,43.97,74,99,6.2,overcast clouds
244,Verkhoyansk,RU,67.5447,133.385,-50.58,98,71,2.68,broken clouds
245,Jua,IN,15.5333,73.9333,85.98,46,51,5.44,broken clouds
246,Joshimath,IN,30.5667,79.5667,62.04,14,0,4.72,clear sky
247,Thompson,CA,55.7435,-97.8558,-7.94,91,100,8.25,overcast clouds
248,Portland,US,45.5234,-122.6762,40.14,82,100,5.01,overcast clouds
249,Timelkam,AT,48.0039,13.6076,14.76,95,29,1.72,scattered clouds
250,Casa Nova,BR,-9.4167,-41.1333,77.14,70,99,5.03,moderate rain
251,Maloy,NO,61.9353,5.1136,38.93,70,100,30.62,overcast clouds
252,Caiaponia,BR,-16.9567,-51.8103,66.33,96,12,1.74,few clouds
253,Oktyabrskiy,RU,54.4815,53.471,29.32,89,100,12.68,overcast clouds
254,Chokurdakh,RU,70.6333,147.9167,-18.83,95,100,8.66,overcast clouds
255,Qaqortoq,GL,60.7167,-46.0333,21.96,80,70,6.93,broken clouds
256,Green River,US,41.5286,-109.4662,14.4,93,11,0.45,few clouds
257,Tazmalt,DZ,36.3868,4.3989,51.31,83,4,1.45,clear sky
258,Mattru,SL,7.6244,-11.8332,72.68,96,6,2.89,clear sky
259,Ndjole,GA,-0.1783,10.7649,72.28,99,88,1.1,overcast clouds
260,Chadan,RU,51.2833,91.5833,-15.63,92,27,1.68,scattered clouds
261,Kloulklubed,PW,7.0419,134.2556,81.1,77,97,16.35,overcast clouds
262,Chirawa,IN,28.2408,75.6448,69.69,19,7,1.72,clear sky
263,Sukhumi,GE,43.0033,41.0153,53.53,51,44,4.05,scattered clouds
264,Bengkulu,ID,-3.8004,102.2655,84.29,63,16,7.85,few clouds
265,Dingle,PH,10.9995,122.6711,79.11,84,100,12.55,light rain
266,Tura,IN,25.5198,90.2201,73.83,58,0,2.57,clear sky
267,Surgut,RU,61.25,73.4167,10.58,85,40,15.66,light snow
268,Launceston,AU,-41.45,147.1667,77.14,38,2,14.97,clear sky
269,Anloga,GH,5.7947,0.8973,79.95,82,79,7.85,broken clouds
270,Tiarei,PF,-17.5333,-149.3333,82.0,78,100,11.48,overcast clouds
271,Auki,SB,-8.7676,160.7034,83.19,70,57,2.04,broken clouds
272,Kirakira,SB,-10.4544,161.9205,84.72,68,29,4.88,scattered clouds
273,Sorong,ID,-0.8833,131.25,80.17,83,100,13.65,overcast clouds
274,Kieta,PG,-6.2167,155.6333,82.96,75,84,3.58,light rain
275,Eureka,US,40.8021,-124.1637,37.62,99,0,4.63,clear sky
276,Provideniya,RU,64.3833,-173.3,19.89,78,99,18.75,overcast clouds
277,Kavieng,PG,-2.5744,150.7967,82.94,72,100,4.47,moderate rain
278,Biltine,TD,14.5333,20.9167,65.64,28,97,10.65,overcast clouds
279,Vyazemskiy,RU,47.5378,134.7525,-7.04,82,97,9.73,overcast clouds
280,Goure,NE,13.9835,10.2704,66.02,27,100,8.77,overcast clouds
281,Sibu,MY,2.3,111.8167,80.2,92,76,0.54,broken clouds
282,Shitanjing,CN,39.2342,106.3439,29.34,27,0,7.61,clear sky
283,Lodja,CD,-3.4833,23.4333,69.33,97,97,0.67,overcast clouds
284,Nanyuki,KE,0.0167,37.0728,59.45,76,28,2.24,scattered clouds
285,Dukat,RU,62.55,155.55,-1.77,98,100,6.64,overcast clouds
286,Huaiyin,CN,33.5886,119.0192,37.06,21,0,10.6,clear sky
287,Poum,NC,-20.2333,164.0167,80.64,75,13,13.18,few clouds
288,Navolato,MX,24.7672,-107.6944,60.98,74,99,3.36,overcast clouds
289,Mahon,ES,39.8885,4.2658,55.96,88,0,0.0,clear sky
290,Kungurtug,RU,50.5994,97.5228,1.98,77,10,0.92,clear sky
291,Rawson,AR,-43.3002,-65.1023,65.23,56,28,10.58,scattered clouds
292,Trujillo,PE,-8.116,-79.03,67.96,88,75,4.61,fog
293,Padang,ID,-0.9492,100.3543,86.05,67,41,5.26,scattered clouds
294,Verkhnetulomskiy,RU,68.6073,31.7962,15.93,97,81,4.36,broken clouds
295,Gizo,SB,-8.103,156.8419,84.47,67,60,3.15,light rain
296,Lapeer,US,43.0514,-83.3188,26.6,80,100,9.22,overcast clouds
297,Dawlatabad,AF,36.4141,64.9053,47.03,55,100,5.14,overcast clouds
298,Gaoua,BF,10.2992,-3.2508,71.64,22,0,4.41,clear sky
299,Mar Del Plata,AR,-38.0023,-57.5575,65.95,75,0,14.0,clear sky
300,Tula,RU,54.2044,37.6111,26.49,96,100,12.15,light snow
301,Pokhara,NP,28.2333,83.9833,68.77,45,6,4.92,clear sky
302,San Benedetto Del Tronto,IT,42.9456,13.8816,53.87,87,100,8.66,overcast clouds
303,Sabha,LY,27.0377,14.4283,57.76,41,0,5.28,clear sky
304,Nuuk,GL,64.1835,-51.7216,25.48,56,54,12.35,broken clouds
305,Anadyr,RU,64.75,177.4833,18.54,82,100,5.57,overcast clouds
306,Saint Pete Beach,US,27.7253,-82.7412,66.25,64,75,10.36,broken clouds
307,Meulaboh,ID,4.1363,96.1285,78.28,81,99,3.8,light rain
308,Trairi,BR,-3.2778,-39.2689,78.12,77,85,9.95,overcast clouds
309,Marystown,CA,47.1666,-55.1483,36.18,82,100,20.38,overcast clouds
310,Chateauroux,FR,46.8167,1.7,19.4,93,71,4.61,broken clouds
